TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency,workflowRunId,workflowStepId
2026-08-08 19:18:37,1786216717268,klever-content-automation.vercel.app/api/tasks/4,GET,nxtPid=4,200,fgm78-1786216717268-653139b484a0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",,production,,MISS,function,/api/tasks/[id],klever-content-automation.vercel.app,klever-content-automation-3p3a08ao2-gulshanmehtos-projects.vercel.app,dpl_HbQC762gWiyNQ3yRwCKRUWkVwnS8,2969,iad1,367,2048,,prj_NGG61SI7xTL4y9GKGTHZLqmQVEUg,,,01KZHD071SW9Z6GK5HBZBED2H7,jqqTl8ljtFd5,1,,
2026-08-08 19:18:33,1786216713649,klever-content-automation.vercel.app/api/tasks/4/images/save,POST,nxtPid=4,200,cv5j4-1786216712260-147ecb7262a5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",warn,production,,MISS,function,/api/tasks/[id]/images/save,klever-content-automation.vercel.app,klever-content-automation-3p3a08ao2-gulshanmehtos-projects.vercel.app,dpl_HbQC762gWiyNQ3yRwCKRUWkVwnS8,,,,,"Local disk image writing bypassed (serverless environment): EROFS: read-only file system, open '/var/task/public/images/cmskra87y000yk6ldv98cnpp8-1786216713647.png'",prj_NGG61SI7xTL4y9GKGTHZLqmQVEUg,,,,,,,
2026-08-08 19:18:32,1786216712260,klever-content-automation.vercel.app/api/tasks/4/images/save,POST,nxtPid=4,200,cv5j4-1786216712260-147ecb7262a5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",,production,,MISS,function,/api/tasks/[id]/images/save,klever-content-automation.vercel.app,klever-content-automation-3p3a08ao2-gulshanmehtos-projects.vercel.app,dpl_HbQC762gWiyNQ3yRwCKRUWkVwnS8,3463,iad1,358,2048,,prj_NGG61SI7xTL4y9GKGTHZLqmQVEUg,,,01KZHD03C6JMK063ZJZMX785MV,jqqTl8ljtFd5,1,,
2026-08-08 19:18:32,1786216712200,klever-content-automation.vercel.app/api/auth/session,GET,nxtPnextauth=session,200,zt7p6-1786216712200-a6ed65fb6a97,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",,production,,MISS,function,/api/auth/[...nextauth],klever-content-automation.vercel.app,klever-content-automation-3p3a08ao2-gulshanmehtos-projects.vercel.app,dpl_HbQC762gWiyNQ3yRwCKRUWkVwnS8,5,iad1,343,2048,,prj_NGG61SI7xTL4y9GKGTHZLqmQVEUg,,,01KZHCZZ6Y60K0G0S3Y7VXEMMT,jqqTl8ljtFd5,2,,
2026-08-08 19:18:29,1786216709354,klever-content-automation.vercel.app/api/proxy/cloudflare,POST,,200,vx29k-1786216709242-67cbdc4f9d88,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",info,production,,MISS,function,/api/proxy/cloudflare,klever-content-automation.vercel.app,klever-content-automation-3p3a08ao2-gulshanmehtos-projects.vercel.app,dpl_HbQC762gWiyNQ3yRwCKRUWkVwnS8,,,,,"[Cloudflare Proxy] Flux-1-Schnell request | ratio: 9:16 | 576x1024 | prompt: 1694 chars",prj_NGG61SI7xTL4y9GKGTHZLqmQVEUg,,,,,,,
2026-08-08 19:18:29,1786216709242,klever-content-automation.vercel.app/api/proxy/cloudflare,POST,,200,vx29k-1786216709242-67cbdc4f9d88,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",,production,,MISS,function,/api/proxy/cloudflare,klever-content-automation.vercel.app,klever-content-automation-3p3a08ao2-gulshanmehtos-projects.vercel.app,dpl_HbQC762gWiyNQ3yRwCKRUWkVwnS8,1473,iad1,317,2048,,prj_NGG61SI7xTL4y9GKGTHZLqmQVEUg,,,01KZHCZZ6WSHFSSXGRZHKCGQZ7,O8yq59dNM1Qh,1,,
2026-08-08 19:18:29,1786216709242,klever-content-automation.vercel.app/api/tasks/4,GET,nxtPid=4,200,9pzd9-1786216709242-ec39da178a8b,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",,production,,MISS,function,/api/tasks/[id],klever-content-automation.vercel.app,klever-content-automation-3p3a08ao2-gulshanmehtos-projects.vercel.app,dpl_HbQC762gWiyNQ3yRwCKRUWkVwnS8,3348,iad1,349,2048,,prj_NGG61SI7xTL4y9GKGTHZLqmQVEUg,,,01KZHCZZ6Y60K0G0S3Y7VXEMMT,jqqTl8ljtFd5,2,,
2026-08-08 19:18:27,1786216707542,klever-content-automation.vercel.app/api/jobs/process,GET,,200,j9cx6-1786216707542-a678c01c2c4a,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",,production,,MISS,function,/api/jobs/process,klever-content-automation.vercel.app,klever-content-automation-3p3a08ao2-gulshanmehtos-projects.vercel.app,dpl_HbQC762gWiyNQ3yRwCKRUWkVwnS8,893,iad1,341,2048,,prj_NGG61SI7xTL4y9GKGTHZLqmQVEUg,,,01KZHCZXHTHAR05Y5VTV8P8AFR,jqqTl8ljtFd5,1,,
2026-08-08 19:18:27,1786216707538,klever-content-automation.vercel.app/api/jobs/process,GET,,200,zjbqj-1786216707538-8024c9247262,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",,production,,MISS,function,/api/jobs/process,klever-content-automation.vercel.app,klever-content-automation-3p3a08ao2-gulshanmehtos-projects.vercel.app,dpl_HbQC762gWiyNQ3yRwCKRUWkVwnS8,781,iad1,317,2048,,prj_NGG61SI7xTL4y9GKGTHZLqmQVEUg,,,01KZHCZSWGVX2DQKGEHSHTPJ56,O8yq59dNM1Qh,2,,
2026-08-08 19:18:25,1786216705292,klever-content-automation.vercel.app/api/tasks/4/images/save,POST,nxtPid=4,200,vx29k-1786216704171-ecbe348c2795,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",warn,production,,MISS,function,/api/tasks/[id]/images/save,klever-content-automation.vercel.app,klever-content-automation-3p3a08ao2-gulshanmehtos-projects.vercel.app,dpl_HbQC762gWiyNQ3yRwCKRUWkVwnS8,,,,,"Local disk image writing bypassed (serverless environment): EROFS: read-only file system, open '/var/task/public/images/cmskra7ne000wk6ld6uflmisx-1786216705291.png'",prj_NGG61SI7xTL4y9GKGTHZLqmQVEUg,,,,,,,
